Event,Type,Date,Lat,Lon,Location,Location_detailed
Fluid Environments & Spatial Humanities Workshop,Invited talk,27/02/2026,54.0104,-2.7864,Lancaster University,Lancaster University
Geographical Information Science Research UK Conference (GISRUK),Conference,24/04/2025,51.4585,-2.6022,University of Bristol,University of Bristol
Association of Geographic Information Laboratories in Europe (AGILE),Conference,06/06/2024,55.8724,-4.29,University of Glasgow,University of Glasgow
Pint of Science,Event,15/05/2024,55.859165,-4.256145,"Pint of Science, Glasgow","Pint of Science, Glasgow"
The David Rumsey Map Center (Stanford University),Invited talk,09/01/2024,37.4267,-122.1675,"The David Rumsey Map Center, Stanford University","The David Rumsey Map Center, Stanford University"
American Historical Association Annual Meeting,Conference,04/01/2024,37.7857,-122.4101,San Francisco,Hilton San Francisco Union Square
1st ACM SIGSPATIAL International Workshop on Geocomputational Analysis of Socio-Economic Data (GeoSocial),Workshop,13/11/2023,53.5616,9.9874,Hamburg,"Radisson Blu Hotel, Hamburg"
Sustainable and Equitable Cities and Regions for a Net Zero World,Workshop,17/10/2023,56.3417,-2.7943,University of St Andrews,University of St Andrews
Workshop on Inter-Census Linkage,Invited talk,23/08/2023,51.5144,-0.1165,London School of Economics,London School of Economics
European Social Science History Conference,Conference,13/04/2023,57.6984,11.9716,University of Gothenburg,University of Gothenburg
North American Conference on British Studies,Conference,11/11/2023,41.8891,-87.6194,Chicago,Sheraton Grand Chicago Riverwalk
XIX World Economic History Congress,Conference,28/07/2023,48.9093,2.3671,"Campus Condorcet, Paris","Campus Condorcet, Paris"
Economic History Society Annual Conference,Conference,05/04/2019,54.5844,-5.934,Queen’s University Belfast,Queen’s University Belfast
Wage Formation and Costs of Employment Conference,Conference,01/05/2016,51.521111,-0.128611,Institute of Historical Research,Institute of Historical Research
FreeUKGEN,Invited talk,29/05/2021,51.8539,0.15741,FreeCen,FreeCen
Centre for Historical Economics and Related Research at York (CHERRY),Workshop,,53.9461,-1.0518,University of York,University of York
Ex Historia,Workshop,,50.7371,-3.5351,University of Exeter,University of Exeter
EHS Residential Training Workshop,Workshop,,53.4668,-2.2339,University of Manchester,University of Manchester
